id	filename	md5	size	state
5cbb9ae7-5510-41c3-818b-9ff6b35057c5	247e51a7-690d-47d4-acdf-ecacb3779e68.mirbase21.mirnas.quantification.txt	aae8a9aa0e56e1c65ef75682f9676d6a	50090	released
94b92d92-7729-472b-9165-bf5d45a59ee1	7d88cbd4-f404-4f4c-9859-0928873438de.mirbase21.mirnas.quantification.txt	648aa2684da80c64dee32e3a9157e3b4	50260	released
d0a8433b-8ca2-47b3-a9a9-fbe09d777cd6	10b6587a-53ff-4666-beb4-f6d0423cf417.mirbase21.mirnas.quantification.txt	c35f3fd777622dbf4b7d98d5827b625f	50409	released
b37bbd73-b75a-4b93-ba9b-7cf392746369	da9bae9c-92b3-4eba-8d6b-d93998411d8b.mirbase21.mirnas.quantification.txt	72e8dae045fa40cad3722ac01e540a69	50252	released
c7546fbf-8a3c-4bad-ae9c-71a9441c039d	dfd1d1f0-ccef-4a2b-bb48-09b40cf04c7f.mirbase21.mirnas.quantification.txt	03cee614dbf4b5b0606c1d12279896ee	50318	released
5fc14555-943a-4d4e-8959-730147ef89c7	ff665d2c-f679-4e6d-b56b-c52cdff59d27.mirbase21.mirnas.quantification.txt	04d6c00f69b8722da9b487bdfcb6e008	50202	released
f1f31d7c-ae95-46a3-af19-228a57cc4f6e	637a9d62-014a-4306-9856-971c3c97e191.mirbase21.mirnas.quantification.txt	fceb58fe2a8ce4d9589f8c754173f3e4	50217	released
8ffece5a-2b4b-480f-9878-19501105ee09	6e24fce9-a591-48ca-96e5-0fb000eb7ca3.mirbase21.mirnas.quantification.txt	e0214e06b8912d02b9ae2246b1f9ed07	50195	released
06843927-41a4-412c-8614-54a17286df51	20142fa0-d394-43c0-a61a-63c323db45a9.mirbase21.mirnas.quantification.txt	69157519bfae7ff6ad7110fca568aa28	50317	released
93998ab8-dd45-497e-b489-053913e411a8	8197324f-b70a-4902-bb2b-92c0c4ed32a3.mirbase21.mirnas.quantification.txt	da82e8031f61bed8ebd00e45ada9942a	50319	released
06fcd3a8-53b5-47a7-89b6-838513fedcc7	fb6dff2a-7eb1-4e35-b3bc-25c5119e3a92.mirbase21.mirnas.quantification.txt	54634473a8060b5d7915faf7363e14d9	50405	released
