id	filename	md5	size	state
3d88f7d0-01d0-432a-b3a4-aed0e410d196	a7d4a061-39f8-4cd8-8e98-ad97cc8ca0e6.mirbase21.mirnas.quantification.txt	fc4ab8b3197a306ea78dfa070fcbc404	50366	released
231daf28-84c7-4099-be20-59474c961eb3	1c889339-4156-4500-b162-6a899ddcdeed.mirbase21.mirnas.quantification.txt	b6ffc7d4a5d90376fae3c00b266a13ca	50308	released
41a9c476-a804-4a85-afa2-200adefa3913	7d990f8a-b714-4c91-913f-500940c4e5e6.mirbase21.mirnas.quantification.txt	9d2e2d4c2057eeffaae6f00fd3d8c6e9	50264	released
bb00fdcd-379a-4cf6-8b21-c11464a732d8	58c9b263-03de-40f2-b5e6-e3535ad1d500.mirbase21.mirnas.quantification.txt	c19eb5dcb21db93f99c3af1e12943702	50482	released
de356cfe-5ece-4247-b1c2-0db70ce43aa6	5c54f5d2-1342-4a41-940e-16daf0d00dfa.mirbase21.mirnas.quantification.txt	7e6c83389d1cbd252de3e12c28b005f8	50435	released
b3995d6b-cceb-4634-89f4-8692de5284af	c44d3fa7-7c6f-438e-b18c-74ce8b8dbfd6.mirbase21.mirnas.quantification.txt	8db31be82e00128c2b2f6ff88edf8453	50182	released
94168c46-0a64-46e0-9b3f-bd5fbe088c0e	34649719-043a-45ca-9477-7dc297afea08.mirbase21.mirnas.quantification.txt	38aca3e11e74bd983ba785f01b1d723d	50354	released
72216f2f-405d-4b0e-a473-8d2292b05fc4	99758f81-d3b4-47ba-9959-188c2a915d91.mirbase21.mirnas.quantification.txt	a6360aca63b7eec44240bf44265dbfb7	50472	released
5b45bfc9-2076-48eb-8ef6-a491285bfa0a	6f47ef19-5831-4cfd-ad2d-00a80a3cf359.mirbase21.mirnas.quantification.txt	34be046f8b9ff800f103f24eafc05675	50320	released
06c2d20d-63a3-4d75-8031-14e7fa5f4fe4	613c2a4e-cf16-4f1f-948f-a9ca8a6b84cf.mirbase21.mirnas.quantification.txt	0eec5340073370a59922df5ffc9b1630	50441	released
9a423118-b7de-4458-bd0f-5bb01efe4cf4	a8dd94b0-5aeb-4263-83b6-bc5764d6917b.mirbase21.mirnas.quantification.txt	66453135affc4cc1d85631ef2a239a12	50255	released
f0b33500-9e33-48fd-868e-59525d8567d9	872e7093-b2a8-4c2e-acda-14078e039a7d.mirbase21.mirnas.quantification.txt	6128a7c9c361dac7a14c94d77e7f78af	50304	released
80af3630-2251-495d-b894-b7d16bc9c528	e3ff6c67-8511-4522-9f4c-da4e2e725c6b.mirbase21.mirnas.quantification.txt	905ced5ce78c36bd27e2436e95def14e	50378	released
480c16d4-0432-4fd8-8fe6-8c67d1991fd6	4d389975-8716-4b37-9b4f-444db2ba1c46.mirbase21.mirnas.quantification.txt	f974b4bc04ed6d740035597835b66acf	50320	released
809e2bd3-6794-4c82-8c74-c97b16f3f798	01de284b-fbf3-471e-aa0e-6baa38807224.mirbase21.mirnas.quantification.txt	a2f86ec5fd405f2b58ed9f6b8ad3f233	50432	released
87be2280-96ef-44a6-aad0-1a01533bc3c0	3404628a-62cd-49fa-aa36-202dbf606056.mirbase21.mirnas.quantification.txt	e8e2d6a236db97f69f0324ecd4498053	50420	released
329279a9-20c2-4e34-8326-925134ab1369	c3c310c7-64a7-4d00-8f8e-84399eb8a51f.mirbase21.mirnas.quantification.txt	23577dc044111ce5f023da26f504e041	50276	released
7446efaf-0c5b-4e3f-b7d4-eb687b24814a	72226df6-f534-45ee-8f82-a032813e67ee.mirbase21.mirnas.quantification.txt	ee99542b1234e78bfc41e8c1978d975b	50482	released
736a15cb-70e0-4ca4-9efd-809bbb60821c	156fcd51-7a2c-4f0a-9a7e-b4234affe200.mirbase21.mirnas.quantification.txt	328eef4cbfd38629cbea03e9d0aaab1d	50379	released
32077f21-7a55-4365-b016-843e1eba9d5d	e4bc6383-00e0-42f6-bd57-b31c874c98a9.mirbase21.mirnas.quantification.txt	04e490bc0b2403ed09648c13897263d2	50394	released
b0b2c4f2-4bf4-419d-a1f1-c5a8ca98d4f2	b0ca0129-02ec-4e58-ba69-724251acb4df.mirbase21.mirnas.quantification.txt	b631bd78dd6ae36d13a7514dec455758	50254	released
236c29aa-3aa4-4764-b13d-7f4df6e029cc	9c94ee34-3e4e-4fac-9919-e1905be80632.mirbase21.mirnas.quantification.txt	dc48ba4eeaac59ead147756b04bebfef	50299	released
890c4235-302e-4f05-9a5c-334577ab48a6	5c00d5ab-c70a-44bf-be8e-e17e00e1e053.mirbase21.mirnas.quantification.txt	789076e16720e9a9a55f1879659f03bd	50323	released
65ca1d68-a664-4bec-b91e-6c7642901453	432ca94b-2a12-429d-8c38-6dcf9ad476a8.mirbase21.mirnas.quantification.txt	99720fee9fd3e8977c38b1d0f16ab62f	50355	released
